name,pos,age,height,weight,forty_yard,shuttle,vertical_jump,bench_press,psqarq
Clayton Echard,TE,,6040,261,4.87,4.64,30,20,100.1
Braxton Deaver,TE,,6046,246,4.8,4.44,31.5,26,98.8
Ben McCord,TE,,6027,237,4.93,4.53,32.5,15,98.1
Chris Gallon,TE,,6040,229,4.77,4.56,32.5,13,97.2
Paul Lang,TE,,6044,259,5.09,4.53,34.5,19,96.6
Bryce Williams,TE,23.5,6056,257,4.91,4.53,29.5,19,95.8
Lawrence White,TE,,6053,253,4.95,4.36,30.5,12,95.1
Jake Phillips,TE,,6055,249,4.94,4.58,31.5,22,94.7
Jake McGee,TE,25,6054,250,4.84,4.63,28.5,17,94.3
Dylan Curry,TE,,6043,258,4.89,4.53,31,15,93.3
Benson Browne,TE,,6051,248,5,4.56,31,20,93.1
Austin Traylor,TE,,6026,250,4.91,4.7,33.5,16,92.8
Desroy Maxwell,TE,,6020,252,4.82,4.69,32,20,92.6
Henry Krieger Coble,TE,,6032,249,4.8,4.52,33.5,10,92.5
Jay Rome,TE,,6043,248,4.92,4.73,35,14,91.9
Charlie Dowdle,TE,,6034,229,4.91,4.65,34,12,90.6
Rob Burns,TE,,6067,269,5.06,4.85,32,17,90.4
Alex Zmolik,TE,,6042,250,5.08,4.4,26.5,,88.8
Ty Morgan,TE,,6030,244,4.96,4.52,30,13,88.3
David Grinnage,TE,,6052,248,4.81,4.74,29.5,7,88.2
Sean Price,TE,,6024,245,5.02,4.99,30,,84.1
Jonathon Witt,TE,,6023,255,4.92,4.88,30.5,20,83.4
A.J. Williams,TE,,6043,280,5.11,4.77,28,16,82.7
Harley Scioneaux,TE,,6053,234,5.08,4.51,31,13,82.1
Darrion Hutcherson,TE,,6067,266,4.9,4.95,29,16,81
Marlon Pope,TE,,6033,253,5.12,4.75,29,10,76.1
Ty Flournoy-Smith,TE,,6031,245,4.94,4.78,27.5,13,74.6
John Quazza,TE,,6055,253,5.1,4.91,27,17,74.2
Keith Heitzman,TE,,6042,253,5.07,4.88,28.5,12,70.5
Derek Lee,TE,,6030,272,5.41,4.94,24.5,12,61
Nick Vannett,TE,22.5,6056,257,,4.2,30.5,17,
Tyler Higbee,TE,23.7,6056,249,,,,,
name,pos,age,height,weight,forty_yard,shuttle,vertical_jump,bench_press,psqarq
Tyler Higbee,TE,23.7,6056,249,,,,,
Anthony Fabiano,OT,,6036,303,4.94,4.34,32.5,25,126.2
Lucas Patrick,OG,,6034,313,5.26,4.66,29,29,122.6
Oni Omoile,OG,,6022,310,4.93,4.54,33,21,120.6
Vi Teofilo,OG,,6033,325,5.22,4.7,29.5,43,119
Connor McGovern,OG,23.3,6042,306,5.11,4.65,33,33,117.9
Sebastian Johansson,OG,,6037,293,5.06,4.51,32.5,26,117.5
Jake Brendel,OC,24,6041,303,5.01,4.27,28,25,116.6
Joe Thuney,OG,23.8,6045,304,4.95,4.54,28.5,28,114.8
Jarell Broxton,OG,,6037,327,5.15,4.76,30,18,113.1
Jason Spriggs,OT,22.3,6055,301,4.94,4.44,31.5,31,115.4
Terran Vaughn,OG,,6025,300,5.11,4.72,32.5,17,112.6
Spencer Pulley,C,,6040,301,5.1,4.48,28.5,28,113
Arturo Uzdavinis,OT,,6040,316,5.31,4.87,35,16,114.3
Germain Ifedi,OG,22.3,6056,324,5.27,4.75,32.5,24,111.1
Nick Gstrein,OG,,6035,316,5.22,4.65,31.5,30,110.3
Brandon Shell,OT,24.6,6053,324,5.22,,30.5,22,112.2
Justin Murray,OT,,6045,300,4.93,4.79,29.5,20,111.4
Brian Bobek,C,,6022,298,5.13,4.63,31,36,109.6
Kyle Friend,OG,,6005,295,5.09,4.69,28.5,41,107.5
Joe Haeg,OT,23.5,6060,304,5.16,4.47,27.5,,108.9
Cody Whitehair,OG,24.1,6036,301,5.08,4.58,25.5,16,105.3
Tyler Johnstone,OT,23.9,6054,301,5.21,4.6,30.5,24,107
Joe Dahl,OG,23.4,6041,304,5.18,4.77,31,28,104.7
Ryan Kelly,OC,23.3,6040,311,5.03,4.59,30,26,105.2
Isaac Seumalo,OG,22.8,6037,303,5.19,4.52,26,19,104.3
Dan Buchholz,OG,,6036,304,5.06,4.98,30.5,28,103.7
Brynjar Gudmundsson,OG,,6034,301,5.35,4.59,30.5,26,103.5
Thor Jozwiak,OG,,6032,319,5.35,4.88,30,23,103.3
Caleb Benenoch,OT,22.1,6054,311,4.98,5.11,28,,104.9
Halapoulivaati Vaitai,OT,23.2,6060,320,5.26,5,29,23,104.5
Austin Blythe,OC,24.2,6021,298,5.34,4.46,31.5,29,103.5
Le'Raven Clark,OT,23.4,6052,316,5.16,,30,20,104.2
Wade Hansen,OT,,6044,306,5.3,5.08,29.625,25,103.6
Michael Frank,OC,,5116,290,5.08,4.78,,27,103
Givens Price,OG,,6035,298,5.08,4.64,32,24,102.1
Jack Conklin,OT,22,6056,308,5,4.57,30,25,103.5
LaQuan McGowan,OG,,6061,405,5.48,5.38,24,30,101.3
Zach Sterup,OT,,6090,318,5.04,4.79,28,27,102.2
Isaiah Folasa-Lutui,OG,,6020,310,5.32,4.69,28,22,100
Darius Redman,OT,,6036,295,5.01,4.64,28,23,101
Nick Richter,OT,,6053,300,5.38,4.79,29,25,100.2
Wes Schweitzer,OT,,6040,300,5.15,4.73,27.5,28,99.8
Sioasi Aiono,OG,,6020,318,5.55,4.96,30,26,98.1
Alex Lewis,OT,24.4,6060,312,5.22,4.72,29.5,27,99.3
Mykhael Quave,OG,,6042,292,5.16,4.9,32.5,,97.8
Ronnie Stanley,OT,22.5,6056,312,5.2,4.9,28.5,,98.9
Tristan Hardin,OG,,6022,326,5.09,5.05,26.5,19,97.6
Keyon Haughton,OC,,6015,302,5.46,4.8,31,21,98
Matt Pierson,OC,,6052,295,5.4,4.6,31,24,97.7
Jake Bernstein,OG,,6031,308,5.21,4.67,26,29,96.5
Matt Skura,OC,23.5,6033,305,5.28,4.59,26.5,30,97.4
Octravian Anderson,OT,,6024,297,5.23,5.07,32,21,97.3
Joshua Garnett,OG,22.5,6043,312,5.32,4.64,29,30,96.3
Bo Bonnheim,OC,,6016,294,5.32,4.71,30,22,97.2
Alex Redmond,OG,21.6,6046,294,5.3,4.9,28,30,95.9
Cole Toner,OT,22.5,6052,306,5.24,4.59,26.5,24,96.7
Quinton Schooley,OC,,6033,294,5.22,4.47,26,26,96.6
Ian Anderson,OG,,6030,309,5.22,4.75,29.5,,95.5
Donavon Clark,OG,,6037,312,5.19,4.72,27,26,95.4
Byron Williams,OG,,6025,300,5.34,4.93,29,17,95.2
Graham Glasgow,OC,24,6057,307,5.13,4.63,25,23,95.9
Ryker Mathews,OT,,6054,316,5.06,4.73,28.5,23,95.5
John Kling,OT,,6072,313,5.41,4.85,30,21,95.5
Jordan Swindle,OT,,6065,313,5.4,4.97,29,22,95.3
Devonte Danzey,OG,,6024,299,5.09,4.73,27.5,,94.4
Ruben Carter,OC,,6033,305,5.19,4.87,27,22,95.4
Ty Darlington,C,,6026,294,5.09,4.71,28.5,24,95.2
Nila Kasitati,OG,,6032,317,5.32,4.83,27.5,14,94.2
Nick Kelly,C,,6017,301,5.26,4.71,29,26,94.9
Taylor Decker,OT,22,6070,310,5.23,4.76,29,20,94.7
John Theus,OT,22.6,6064,313,5.22,4.78,28,19,94.7
Stephane Nembot,OT,24.7,6066,322,5.23,4.99,26.5,32,94.5
Chad West,OT,,6053,291,5.12,,27,30,94.1
Adam Redmond,OT,,6053,301,5.19,4.64,28,24,93.8
Dominique Robertson,OT,,6045,324,5.36,4.83,28.5,30,93.6
Jamison Lalk,OC,,6054,299,5.28,4.65,30,22,93.6
Joe Gore,OT,,6054,304,5.05,4.65,27.5,28,93.2
Norman Price,OT,,6044,309,5.11,4.72,28.5,31,93
Spencer Drango,OG,23.9,6055,315,5.27,4.66,27,30,92.2
Alex Fifita,OG,,6040,316,5.31,4.85,26.5,25,92
Willie Beavers,OT,22.9,6045,321,5.28,4.71,25.5,20,92.5
Nick Martin,OG,,6041,299,5.22,4.72,28,28,91.9
Trip Thurman,OG,,6053,307,5.34,4.74,29,21,91.8
Ted Karras,OG,,6036,307,5.34,4.7,26.5,32,91.4
Garrett Clark,OC,,6036,283,5.48,4.82,27,21,92.3
Parker Ehinger,OG,23.7,6062,310,5.26,,27.5,,91.1
Jordan Walsh,OG,,6022,311,5.31,4.89,27,22,90.9
Desmine Hilliard,OG,,6036,336,5.8,5.2,29,23,90.4
Josiah St. John,OT,,6060,305,5.3,4.72,27,17,90.8
Caleb Williams,OG,,6025,305,5.44,5.03,29.5,29,90.2
Robert Blodgett,OT,,6056,299,5.32,4.87,28.5,27,90.6
Tyler Samra,OG,,6023,303,5.39,4.97,29,27,90
Tarik Cook,OG,,6014,292,5.05,4.93,27,26,90
Isaiah Williams,OG,,6031,307,5.21,4.83,26,25,89.2
Nick Plavchak,OT,,6044,296,5.17,4.89,29.5,25,89.5
Torian White,OT,,6056,318,5.33,4.78,24,18,89.2
Shahbaz Ahmed,OG,,6025,303,5.33,4.87,25,26,88.7
Alex Cooper,OT,,6035,300,5.25,4.78,28,23,88.8
Justin Northern,OT,,6044,284,5.15,4.87,26.5,26,87.9
Dave Bowen,OT,,6061,307,5.48,4.93,26,20,87.9
Christian Westerman,OG,23.5,6031,298,5.17,4.71,,34,87.2
Rashod Hill,OT,,6063,303,5.3,4.75,26,21,87.3
Sam Cowan,OT,,6050,298,5.34,5,28,23,87
Kennedy Estelle,OT,,6061,297,5.37,4.85,23.5,13,86.7
Wendell Taiese,OG,,6053,346,5.52,5.01,26,24,86.5
Roderick Byers,OG,,6030,290,5.21,4.73,24.5,22,86.4
Jack Allen,OC,23.9,6012,294,5.29,4.73,28,23,87.5
Lucas Powell,OC,,6041,289,5.46,4.76,28.5,25,87.2
Eric Lofton,OG,,6036,300,5.45,5.09,25,21,86
Evan Boehm,OC,23,6021,302,5.33,4.69,28.5,24,86.9
Fahn Cooper,OT,23.3,6044,303,5.17,4.89,25,19,85.8
Garrett Stafford,OG,,6043,309,5.49,4.89,26.5,25,85.7
Alex Barr,OT,,6073,317,5.24,4.7,24.5,14,85.6
Mike McQueen,OT,,6064,297,5.33,5.22,28.5,21,85.3
Sedrick Flowers,OG,,6021,322,5.6,5.21,26.5,28,84.7
Ike Harris,OT,,6071,311,5.35,5,25,21,84.7
Darrell Greene,OG,23.8,6026,321,5.2,4.98,22.5,28,84.7
Avery Young,OT,23.8,6045,328,5.39,4.9,25,20,84.6
Nick Beamish,OC,,6017,302,5.59,4.71,29.5,25,85.7
Donovan Williams,OG,,6020,318,5.23,4.73,27,23,84.4
Aaron Epps,OT,,6057,305,5.3,4.93,26.5,24,84.4
Rob Trudo,OC,,6031,289,5.25,5.06,27.5,29,85.1
Blake Burks,OG,,6003,322,5.54,4.87,27.5,20,83.8
Jacob Richard,OC,,6014,295,5.33,4.84,28.5,27,84.8
Andy Cunningham,OG,,6026,311,5.91,5.01,25,21,83.6
Tyler Marz,OT,,6066,316,5.46,4.97,27.5,19,83.4
Mitch Smothers,C,,6025,298,5.27,4.94,24.5,30,84.4
Aidan Conlon,OG,,6025,295,5.29,4.74,27.5,16,83.2
Justin Malone,OG,,6050,330,5.49,5.26,24.5,20,82.6
Artie Rowell,OC,,6011,293,5.44,4.78,26,25,83.4
Jordan Rigsbee,OG,,6041,300,5.53,4.75,25,17,82.2
Dallas Sandberg,OG,,6045,305,5.64,4.76,27.5,23,82.1
Tommy Brown,OG,,6035,344,5.66,5.02,22.5,22,82
Errin Joe,OG,,6022,331,5.51,4.84,23.5,18,82
Marcus Hutchins,OT,,6026,292,5.41,5.2,28.5,24,81.6
Robert Kugler,OC,,6026,297,5.47,4.65,26.5,27,82.8
Chris Boles,OG,,6035,333,5.62,5.08,25,20,81.6
Luke Hayes,OG,,6046,306,5.27,4.79,23,24,81.3
Jalen Schlachter,OG,,6063,342,5.67,5.21,25.5,32,81.1
Angelo Mangiro,OC,,6032,302,5.61,4.88,26,23,82.2
Stan Hasiak,OG,,6036,291,5.33,4.98,25.5,19,80.9
Ben Copher,OG,,6055,317,5.75,4.88,24,15,80.8
Kolton Houston,OT,,6035,302,5.36,4.84,26,26,80.3
Brandon Lathrop,OG,,6055,308,5.49,4.84,27.5,18,80.4
Boston Stiverson,OG,,6034,311,5.26,4.66,21.5,26,80.4
Brus Palaj,OG,,6056,320,5.72,5.2,29,19,80.4
Boston Stiveron,OG,,6032,311,5.26,4.66,21.5,26,80.1
Mike Lucas,OG,,6044,297,5.3,4.75,28.5,23,79.8
Vadal Alexander,OG,22.4,6052,326,5.57,4.9,24,25,79.8
Jerald Hawkins,OT,22.9,6055,305,5.23,4.89,23.5,23,78.9
Anthony Pruitt,OG,,6025,290,5.4,5.01,27.5,25,79.1
Denver Kirkland,OT,22.5,6044,335,5.55,5.06,23,19,78.5
Pearce Slater,OT,22.9,6066,329,5.42,5.12,24.5,19,78.4
Damien Parris,OT,,6051,312,5.47,4.9,25.5,15,78.1
Ethan Wirth,OG,,6062,291,5.56,4.94,25.5,23,78.5
Larry Mazyck,OT,,6073,340,5.86,,27,19,77.8
Bryan Chamberlain,OT,,6035,303,5.55,4.8,23,20,77.5
Paul Flores,OT,,6051,305,5.34,5.15,25.5,16,77.3
Jordan Kersh,OG,,6017,276,5.23,,26.5,18,77.6
Herschel Prater,OG,,6050,325,5.51,4.95,25,19,77.3
Tyler Brooks,OG,,6016,291,5.46,4.97,25,26,76.7
Adrian Bellard,OT,,6046,301,5.49,5.03,26,15,75.6
Dariusz Bladek,OG,,6042,318,5.62,5.02,24.5,20,75.8
Taylor Evans,OG,,6023,275,5.45,4.89,,,75.8
Sebastian Tretola,OG,24.3,6041,314,5.45,5.02,23.5,22,75
Andrew Ness,OG,,6031,304,5.95,4.81,28.5,17,74.3
Zach West,OG,,6035,302,5.45,5.16,24,,74.2
Ross Burbank,OC,,6040,294,5.2,4.78,22.5,27,74.9
Eric Mac Lain,OG,,6043,313,5.6,5.05,22.5,22,73.2
Sam Carlson,OT,,6042,301,5.45,4.9,25.5,18,71.9
Derek Farniok,OT,,6087,327,5.77,5.37,26,17,71.8
Kelby Johnson,OT,,6065,296,5.52,4.92,25,,71.7
Josh Robinson,OG,,6034,318,5.69,4.82,22,25,71.4
Adam Wright,OG,,6022,326,5.69,5.03,23.5,17,70.6
Mason Halter,OT,,6061,305,5.49,5,24,9,69.4
Jared Kaster,OC,,6027,296,5.52,4.8,26,22,71.1
Ben Curtis,OT,,6051,307,5.56,5.2,20.5,17,68.2
C.J. Struyk,OC,,5116,303,5.75,5.07,25.5,32,70.3
Ian Foy,OT,,6040,272,5.39,4.75,23.5,17,67.5
Landon Turner,OG,23.3,6037,330,5.58,4.95,19,30,68.8
Alfredo Morales,OG,,6025,310,5.53,5.28,22,29,68.5
Gunnar Bromelow,OT,,6053,295,5.63,,23.5,10,63.7
Quincy McKinney,OG,,6031,308,5.66,4.85,21,14,64.6
Tre Robertson,OG,,6043,307,5.77,5,21.5,17,63.5
Quaison Osborne,OG,,6027,317,5.75,5.05,19.5,16,63.3
Garrick Mayweather Jr.,OG,,6026,329,5.86,5.04,21.5,27,62.7
Tyrell Smith,OT,,6051,317,5.73,5.26,21,13,55.8
Domenick Jackson,OG,,6050,313,,,26,20,
Joseph Cheek,OG,23.7,6060,295,,,,20,
Kyle Murphy,OT,22.7,6063,305,,,,23,
Laremy Tunsil,OT,22.1,6050,310,,,,,
Max Tuerk,OC,22.6,6050,298,,,,26,
Rees Odhiambo,OG,23.9,6037,314,,,,23,
Shon Coleman,OT,24.8,6054,307,,,,22,
name,pos,age,height,weight,forty_yard,shuttle,vertical_jump,bench_press,psqarq
Shon Coleman,OT,24.8,6054,307,,,,22,
Justin Zimmer,DT,,6020,302,4.85,4.4,32,44,140.1
David Onyemata,DT,,6032,300,5.07,4.69,33,33,136.1
Connor Wujciak,DT,23.9,6024,291,4.91,4.27,34.5,22,131.8
Robert Nkemdiche,DT,22,6034,294,4.87,,35,28,130.5
Dean Lowry,DT,,6056,296,4.87,4.38,32.5,30,129.8
Jonathan Bullard,DT,22.9,6030,285,4.93,4.56,32,23,126.8
Drew Iddings,DT,,6053,290,4.74,4.64,32.5,20,125.9
Sheldon Rankins,DT,22.4,6011,299,5.03,4.59,34.5,28,124.6
Bronson Kaufusi,DT,25.2,6064,285,4.87,4.25,30,25,124.3
Michael Pierce,DT,,6003,329,5.01,,27,28,124.1
Alex Balducci,DT,,6035,309,5.01,4.63,33,25,122.3
Greg Milhouse,DT,,6013,295,4.91,4.68,33.5,26,121.1
Hassan Ridgeway,DT,,6033,303,5.02,4.69,32,24,120.4
Javon Hargrave,DT,23.6,6013,309,4.93,4.7,34.5,29,120
Kyle Peko,DT,,6020,298,5.13,4.5,32.5,31,119.6
Jake Ceresna,DT,,6051,291,4.98,4.54,31.5,35,118.4
Anthony Zettel,DT,24.1,6037,277,4.81,4.39,30.5,28,116.9
David Dean,DT,,6012,295,5.12,4.69,31,33,116.2
Chris Jones,DT,22.2,6056,310,5.03,4.62,29.5,26,115.5
Joel Heath,DT,23.2,6052,293,5.02,4.52,33,26,115.4
Lawrence Thomas,DT,23.4,6034,286,4.98,4.58,35,24,115.2
Vernon Butler,DT,22.1,6035,323,5.19,4.76,33.5,26,114.7
Todd Peat,DT,,6020,323,5.04,4.57,31.5,15,114.1
DeForest Buckner,DT,24.5,6070,291,5.05,4.47,32,21,112.6
Willie Henry,DT,22.5,6026,303,5,4.53,30.5,28,111
Khaynin Mosley-Smith,DT,,6003,295,5.09,,28.5,27,110.9
Andrew Billings,NT,21.5,6005,311,4.96,4.78,27.5,31,106.1
DeMarcus Hodge,DT,,6006,333,5.25,4.76,27.5,29,110.2
Destiny Vaeao,DT,,6037,295,5.21,4.56,35.5,27,110.1
Carlos Wray,DT,,6006,287,4.91,4.63,28.5,26,110.1
Claude Pelon,DT,,6041,310,5.12,4.82,32.5,33,110.1
Kenny Clark,NT,20.9,6025,314,5.06,4.62,28.5,29,105.5
Maliek Collins,DT,21.4,6017,311,5.03,4.52,29.5,25,109.8
Kenton Adeyemi,DT,,6035,288,4.92,4.55,31,29,109.7
Sheldon Day,DT,22.2,6005,293,5.07,4.5,30,21,108.6
Nate Terhune,DT,,6034,287,5.27,4.4,30,26,108.1
Quinton Jefferson,DT,23.4,6037,291,4.93,4.37,29,24,108.1
Tarow Barney,DT,,6021,304,5.02,4.75,30.5,31,107.2
Andrew Bolton,DT,,6020,306,4.94,4.83,30,22,107
Vincent Valentine,DT,22.5,6035,329,5.19,4.59,29,17,106.7
Matthew Ioannidis,DT,22.6,6034,299,5.03,4.66,28,32,106.6
Evan Kelly,DT,,6010,288,5.07,4.7,32.5,34,106.3
Jihad Ward,DT,22.5,6051,297,5.09,4.63,28,22,105.4
Iosia Iosia,DT,,6051,297,5,4.78,31,16,105.1
Ronald Blair,DT,23.6,6021,284,5.15,4.53,30,32,104.6
Niko Padilla,DT,,6001,295,5.28,4.57,28,37,104.3
Antwaun Woods,DT,23.7,6001,318,5,,27.5,,104.2
Robert Kitching,DT,,6014,301,4.86,4.73,30,26,104.2
Tanner Agen,DT,,6027,300,5.2,4.68,28.5,42,103.9
James DeLoach,DT,,6021,274,5.01,4.56,31,18,101.7
Givens Price,DT,,6036,298,5.08,4.59,32,24,101.7
D.J. Reader,NT,22.2,6025,327,5.27,4.71,29.5,30,98.2
Ufomba Kamalu,DT,,6051,295,5.01,4.58,25,26,101.5
Jarran Reed,DT,22.7,6027,307,5.21,4.75,31,,100.8
Desmond Jackson,DT,,6006,305,5.52,5.09,31,36,100.6
Ryan Edwards,DT,,6017,322,5.4,4.73,29,33,98.9
Aziz Shittu,DT,,6020,288,5.41,4.52,29.5,31,98.2
Chris Mayes,DT,24.9,6031,338,5.33,5.13,23.5,33,98.1
Cory Johnson,DT,,6024,298,5.09,,27.5,26,97.9
Jon Desir,DT,,6050,315,5.28,4.5,26.5,25,97.6
Demetrius Alston,DT,,6023,284,5.06,4.63,30.5,21,97.5
Michael Smith,DT,,6043,279,5.01,,33.5,17,97.3
Zach Zidian,DT,,6010,321,5.35,4.69,27,25,96.9
Derrick Luetjen,DT,,6027,288,4.96,4.63,29,23,96.3
Joe Fotu,DT,,6030,274,5.05,4.74,30,18,96.1
Junior Alexis,DT,,6017,297,5.33,4.77,28,35,95.7
Derrick Alexander,DT,,6013,299,5.18,4.61,27.5,26,95.5
Claudell Louis,DT,,6041,291,5.05,4.73,26,23,95.1
A.J. Zuttah,DT,,6007,294,5.23,4.65,28.5,30,94.2
A'Shawn Robinson,DT,21.5,6035,307,5.2,4.74,26,22,94
Steve Dillon,DT,,6025,289,5.16,4.77,30,22,94
DeMarion Harper,DT,,6027,294,4.91,4.71,28.75,18,93.8
Charles Owens,DT,,6007,296,5.09,4.83,26.5,28,93.6
Samuel Gray,DT,,6032,298,5.13,4.9,29,29,93.4
Darius Latham,DT,21.8,6042,311,5.32,4.63,29,,93.4
Quentin Thomas,DT,,6027,317,5.08,5.22,28.5,18,92.5
Zach Colvin,DT,,6031,301,5.37,4.72,27,21,92.3
Orion Jones,DT,,6012,300,5.41,4.63,29,27,91.2
Rika Levi,DT,,6012,347,5.54,4.81,27.5,27,90.6
Mike Mentor,DT,,6007,279,5.13,4.77,28,22,90.6
Pio Vatuvei,DT,,6013,277,5.07,4.53,30,17,90.5
Keland McElrath,DT,,6033,300,5.34,4.87,27.5,22,90.2
Brian Price,DT,,6026,322,5.17,4.72,27,20,90.1
Julian Jackson,DT,,6004,309,5.39,4.97,30,,89.9
Justin Thomason,DT,,6030,295,5.18,4.75,28.5,28,89.5
Jared Washington,DT,,6006,313,5.22,5.35,26.5,35,89.1
Ryan Watson,DT,,6016,291,5.22,4.67,26.5,27,88.5
Cody Grice,DT,,5111,266,5.11,4.76,28,30,87.5
Robert Zimmerman,DT,,6017,326,5.32,4.81,25,27,87.4
Kwontie Moore,DT,,6014,305,5.23,5,25,,87.4
Austin Johnson,NT,22.3,6043,314,5.32,4.75,26,25,85.4
Adolphus Washington,DT,21.8,6033,301,5.17,4.79,27,21,86.8
Mershad Dillon,DT,,6003,303,5.2,4.76,27.5,21,86.7
Melvin Holland,DT,,6002,310,5.3,4.87,26.5,26,86.3
Lance McDowdell,DT,,6033,300,5.18,4.74,22,28,84.7
DeVaunte Sigler,DT,24.3,6034,298,5.15,4.97,25,23,84.6
Jeff Worthy,DT,,6022,286,5.21,4.65,26.5,20,84.3
Alex Tucci,DT,,6012,303,5.35,5.07,25,29,84.2
A.J. Bowen,DT,,6013,319,5.42,5.07,27.5,24,83.8
Kapil Fletcher,DT,,6024,298,5.52,4.95,27,18,83.3
Julian Campenni,DT,,5117,306,5.36,4.84,23.5,31,83.1
Cody Temple,DT,,6024,306,5.32,4.86,25,32,83.1
Terry Jackson,DT,,6000,295,5.28,,27,23,82.6
Lonnie Gosha,DT,,6021,310,5.54,,28.5,21,82.5
Tyler Porter,DT,,5106,358,5.51,5.09,25,25,82.2
Darryl Render,DT,,6022,283,5.32,4.94,26.5,18,82.1
Travis Britz,DT,,6034,293,5.24,4.65,25,23,81.8
James Hamilton,DT,,6025,292,5.61,4.94,23.5,23,80.7
Hershey Walton,DT,,6027,304,5.45,4.93,23.5,23,80.6
Michael Rouse III,DT,,6043,310,5.34,5.22,23.5,30,80.3
Demetris Anderson,DT,,6015,312,5.24,4.78,23,16,79.9
Delvon Simmons,DT,,6051,298,5.46,4.93,25,23,79
Mustafa Jalil,DT,,6034,306,5.44,4.66,22.5,24,79
Demetrius Cherry,DT,,6051,297,5.36,5.12,24,12,78.5
Trevor Kelly,DT,,6010,300,5.25,4.62,28,19,78.2
Lance Skyler,DT,,6014,290,5.52,5.07,27.5,22,72.8
Dondre Elvoid,DT,,6016,296,5.47,5.24,25,20,71.2
Viliseni Fauonuku,DT,,5106,284,5.54,4.88,23.5,27,71.1
Gerrand Johnson,DT,,6005,301,5.62,4.93,23,26,69.1
Ross Winship,DT,,6035,300,5.53,5.04,20.5,19,65
Brad Hefley,DT,,6030,286,5.51,5.01,23,19,65
Mo Latu,DT,,6032,391,6.38,5.5,19.5,35,62.7
Adam Gotsis,DT,23.9,6044,287,,,,23,
Luther Maddy,DT,23.6,6000,287,,,,29,
Nile Lawrence-Stample,DT,23.1,6010,320,,,,,
name,pos,age,height,weight,forty_yard,shuttle,vertical_jump,bench_press,psqarq
Nile Lawrence-Stample,DT,23.1,6010,320,,,,,
Trent Corney,EDGE,,6031,251,4.68,4.34,38,34,137.6
Charles Tapper,EDGE,23.3,6025,271,4.59,,34,23,133.7
Emmanuel Ogbah,EDGE,22.8,6042,273,4.63,4.5,35.5,20,131.8
Tyrone Holmes,EDGE,,6023,253,4.6,4.28,37.5,28,130.8
Shaq Lawson,EDGE,22.2,6025,269,4.7,4.21,33,,130.5
Jordan Jenkins,EDGE,,6030,259,4.77,4.32,38,16,129.4
Alex McCalister,EDGE,23.1,6061,239,4.8,4,34.5,,129.4
Dadi Nicolas,EDGE,23.9,6027,235,4.74,4.38,41,14,128.8
Shiro Davis,EDGE,,6025,267,4.75,4.46,34.5,29,128.7
Tyler Roberts,EDGE,,6014,224,4.68,4.14,36,18,126.3
Tautvydas Kieras,EDGE,,6034,271,4.69,4.52,35,24,125.7
Joey Bosa,EDGE,21.1,6052,269,4.86,4.21,32,24,125.6
Stephen Weatherly,EDGE,,6043,267,4.61,4.42,31,23,125.3
Jason Fanaika,EDGE,24.2,6016,271,4.86,4.39,35.5,29,122.6
Noah Spence,EDGE,22.6,6024,251,4.8,4.35,35,25,122.4
Farrington Huguenin,EDGE,,6036,271,4.87,4.37,34,25,121.8
Adam Brandt,EDGE,,6040,245,4.83,4.41,35.5,25,121.2
Jonathan Woodard,EDGE,,6047,271,4.89,4.4,34,28,120.8
Jason Neill,EDGE,,6020,266,4.71,4.35,30.5,31,120.3
Farrington Huguenin,EDGE,,6036,271,4.87,4.46,34,25,119.7
Shawn Oakman,EDGE,24.4,6075,287,4.85,4.56,32,23,119.5
Jack Gangwish,EDGE,,6025,272,4.83,4.31,31,30,119.2
Eddie Yarbrough,EDGE,,6024,259,4.8,4.41,32.5,28,119
Shilique Calhoun,EDGE,24.5,6043,251,4.82,4.25,35,23,119
Kyle Kragen,EDGE,,6022,248,4.85,4.25,37,23,118
Bryson Albright,EDGE,,6054,239,4.89,4.25,33,18,116.4
Theiren Cochran,EDGE,,6047,247,4.82,4.45,37,22,116
Yannik Ngakoue,EDGE,21.4,6020,252,4.75,4.5,34.5,26,115.5
Caleb Azubike,EDGE,,6041,250,4.95,4.32,33,16,115
Graham Rowley,EDGE,,6032,277,4.81,4.44,31.5,27,114.8
Mike Rose,EDGE,,6024,261,4.67,4.46,33.5,17,114.4
Matt Judon,EDGE,24,6030,275,4.73,4.52,35,30,114.4
Carl Nassib,EDGE,23.4,6067,277,4.84,4.37,28.5,21,113.2
Branden Jackson,EDGE,23.8,6037,273,4.87,4.5,31.5,20,112.1
James Cowser,EDGE,,6031,248,4.82,4.31,31.5,21,110.4
Keenen Gibbs,EDGE,,6023,267,4.93,4.52,35.5,24,110.2
Victor Ochi,EDGE,22.9,6011,246,4.86,4.4,32,,109.8
Romeo Okwara,EDGE,21.2,6045,265,4.9,4.53,33,23,109.6
Kamalei Correa,EDGE,,6025,243,4.69,,33,21,108.5
Teddy Corwin,EDGE,,6045,268,4.86,4.4,29,,108.2
Kevin Dodd,EDGE,24.1,6050,277,4.86,4.44,30.5,22,108
Josh Dawson,EDGE,,6037,263,4.82,4.57,33,21,107.8
Ben Crompton,EDGE,,6030,270,4.83,4.53,31.5,29,107.6
Sonny Sanitoa,EDGE,,6034,255,4.92,4.62,34,26,107.5
Mike Keck,EDGE,,6030,250,4.78,4.46,,23,107
