name,pos,height,weight,forty_yard,shuttle,vertical_jump,powerball,bench_press,sparq
Omar Gardea,LB,3-Jun,220,4.9,4.24,32.1,35.5,13,93.45
Tanner Gentry,WR,1-Jun,181,4.65,4.49,34.2,38,17,93.45
name,pos,height,weight,forty_yard,shuttle,vertical_jump,powerball,bench_press,sparq
Tyler Brown,OL,6-1.5,271,5.19,5.12,30.8,47,32,93.42
Tyrell Judson,RB,8-May,157,4.61,4.31,34.8,36.5,14,93.42
Aaron Guillory,WR,Jun-00,174,4.7,4.26,34.1,36,13,93.39
Tion Wright,CB,5-8.5,150,4.68,4.25,40.9,32,7,93.39
Tanner Shipley,RB,2-Jun,176,4.75,4.03,33.7,31.5,6,93.3
Trey Mc Gahan,LB,6-.5,190,4.79,4.34,38.8,33,8,93.27
Collin Albershardt,DE,6-.5,236,4.9,4.56,32.2,39,18,93.15
Christian Hackenberg,QB,6-3.5,212,4.84,4.34,30.1,39,18,93.12
Richard Montgomery,RB,7-May,159,4.61,4.19,34.5,34,10,93.12
Tyler Terveer,LB,10-May,201,4.9,4.32,34.8,37,15,93.12
Quinton Powell,LB,2-Jun,187,4.8,4.28,32.1,38,17,93.09
Jacob Mays,WR,6-1.5,198,4.81,4.33,32.6,37.5,16,93
Devaun Swafford,WR,10-May,174,4.8,4.16,32.2,37,15,93
Brad Hyman Muhammad,CB,10-May,163,4.62,4.22,32.4,36,13,92.97
Dante Booker,LB,3-Jun,209,4.72,4.6,27.1,42,23,92.88
Javon Harrison,QB,1-Jun,207,4.82,4.32,27.9,40,20,92.85
David Claybrook,WR,Jun-00,212,4.7,4.4,29,38,17,92.82
Bailey Williams,WR,6-.5,163,4.91,4.04,33.6,36.5,14,92.79
Malik Fuller,RB,7-May,172,4.69,4.3,33.3,37,15,92.76
Jaylen Lowe,QB,5-11.5,179,4.81,4.12,30.8,37,15,92.76
Jacob Martinez,QB,5-11.5,176,4.68,4.16,34.3,32.5,8,92.76
De Andre Day,RB,5-8.5,174,4.61,4.37,37.1,33,8,92.73
Charles Nelson,RB,8-May,163,4.64,4.22,34,35,12,92.7
Bryce Harvey,WR,11-May,172,4.8,4.18,31.3,38,17,92.67
Tj Harrell,DE,1-Jun,192,4.75,4.34,29.6,39.5,19,92.58
E'lon Mack,WR,11-May,170,4.62,4.41,36.9,35,12,92.58
Cj Posey,RB,5-8.5,168,4.62,4.25,37.9,31,5,92.55
Grant Caraway,QB,6-.5,185,4.61,4.12,29.6,33,8,92.52
Roosevelt Wheeler,WR,2-Jun,172,4.84,4.43,36.7,39,18,92.52
Wyatt Thomas,TE,4-Jun,190,4.7,4.38,31.3,38,17,92.49
"Brian Walker , Jr",RB,10-May,172,4.54,4.4,37.4,32,7,92.4
ALLAN HAVILI,DL,3-Jun,287,5.62,4.7,28.4,41,22,92.37
Raymond Hudson,LB,3-Jun,229,4.96,4.36,30.3,38.5,18,92.34
Joseph Figueroa,S,5-9.5,179,4.83,4.22,31,39,18,92.22
Torii Hunter Jr.,WR,Jun-00,172,4.57,4.35,35.8,33,8,92.13
Dalton Baker,WR,10-May,163,4.66,4.29,36.5,34,10,92.1
David Ajamu,TE,6-4.5,231,4.92,4.59,32.5,39.5,19,92.07
Kwamane Bowens,WR,6-.5,165,4.64,4.24,32.8,35.5,13,92.07
Jordan Jackson,LB,5-11.5,220,4.91,4.18,29.6,36,13,92.07
Kaodi Dike,WR,2-Jun,194,4.75,4.41,31.8,38.5,18,92.01
Alex Schwab,CB,1-Jun,192,4.73,4.4,33.8,36.5,14,91.98
Deangelo Yancey,WR,1-Jun,201,4.59,4.72,31.3,39.5,19,91.95
Bryant Welch,LB,11-May,179,4.9,4.28,33.5,39,18,91.89
James Chambers,RB,10-May,179,4.68,4.26,32.2,36,13,91.86
David Gaydosz,RB,10-May,185,4.67,4.16,30,34.5,11,91.86
Jerome Lane,RB,2-Jun,203,4.69,4.4,30.7,37,15,91.83
Robert Frazier,RB,6-May,172,4.63,4.21,35.4,31.5,6,91.77
Ebenezer Ogundeko,DE,3-Jun,227,5.01,4.52,32,40,20,91.77
Nathan Obinwa,DE,3-Jun,220,4.7,4.51,32.9,35.5,13,91.74
Jalen Reeves Maybin,LB,1-Jun,198,4.82,4.2,29.1,37.5,16,91.74
name,pos,height,weight,forty_yard,shuttle,vertical_jump,powerball,bench_press,sparq
Christian Kirk,WR,5-9.5,168,4.62,4.44,33.7,37.5,16,91.65
Jordan Swan,LB,Jun-00,214,4.87,4.41,32.2,38,17,91.59
Savion Brown,CB,6-.5,192,4.64,4.55,27.6,40.5,21,91.53
Jordan Vielma,LB,10-May,203,5.13,4.44,32.3,41,22,91.53
Eric Bridgett,RB,10-May,172,4.54,4.39,32,36,13,91.5
Taj Griffin,RB,9-May,163,4.51,4.41,40.9,29,2,91.5
Arman Smith,CB,7-May,159,4.78,4.03,32.8,34,10,91.47
Dj Gillins,QB,3-Jun,185,4.87,4.66,35.6,40.5,21,91.44
Terence Hall,CB,6-.5,196,4.68,4.41,32.8,36,13,91.44
Courtney Allen,RB,5-6.5,181,4.73,4.25,33.4,35,12,91.41
Marcelis Logan,RB,8-May,168,4.56,4.29,34.2,33,8,91.41
John Armstrong,RB,7-May,161,4.59,4.1,33.8,31,5,91.38
Zach Claiborne,DE,5-11.5,187,4.83,4.45,33.7,39.5,19,91.38
Austin Woodard,S,5-11.5,183,4.91,4.28,34.5,37.5,16,91.38
Tomas Colbert,WR,Jun-00,183,4.58,4.25,31.5,33,8,91.35
Brandon Peters,S,6-.5,192,4.61,4.57,35.5,35.5,13,91.35
Court Prescott,S,5-10.5,183,4.9,4.09,31,36.5,14,91.35
Shawntrel Garner,S,10-May,172,4.59,4.52,36.9,35,12,91.32
Dj Jones,DL,1-Jun,287,5.13,5.03,27.1,43.5,26,91.29
Robert Leday,RB,9-May,190,4.72,4.62,28.8,41.5,23,91.17
Weylin Orr,RB,6-May,172,4.63,4.38,34.5,35.5,13,91.11
Kaodi Dike,WR,2-Jun,190,4.76,4.26,32,36,13,90.96
Aaron Adams,WR,5-9.5,154,4.76,4.24,37.4,34.5,11,90.93
Harneet Gill,OL,6-Jun,240,5.28,4.83,33,42.5,24,90.93
Sam Bruno,RB,Jun-00,176,4.69,4.32,34.6,35,12,90.9
Brandon Crawford,DE,1-Jun,223,4.78,4.79,33.9,38.5,18,90.87
Malik Lockett,WR,10-May,152,4.6,4.07,30.6,33.5,9,90.87
Kevin Holubowski,RB,11-May,218,4.82,4.32,31.4,35.5,13,90.84
Kantrell Hunter,QB,6-.5,176,4.56,4.28,34.7,31,5,90.84
Ryheem Lockley,S,6-2.5,216,4.67,4.53,30.3,37,15,90.84
Anthony Patino,DE,2-Jun,205,4.83,4.38,29.6,39.5,19,90.84
Tyler Jackson,CB,11-May,176,4.81,4.2,31.9,37,15,90.81
Jonathan Mc Nair,RB,5-May,154,4.75,4.03,37,30,3,90.81
Chris Brickhouse,WR,5-Jun,201,4.77,4.5,34.4,37,15,90.75
Chris Frey,LB,1-Jun,192,4.79,4.35,32.8,37,15,90.75
Derick Roberson,DE,6-4.5,212,4.93,4.47,34,38,17,90.75
Keanu Neal,S,1-Jun,201,4.67,4.34,33.8,32.5,8,90.72
Jakob Stevens,CB,11-May,181,4.8,4.15,30.1,36.5,14,90.69
Jo Jo Wardsworth,WR,5-9.5,172,4.62,4.41,38.8,31.5,6,90.66
Martin Stafford,RB,5-8.5,183,4.66,4.41,35.9,34,10,90.63
Christopher Harris,WR,9-May,179,4.63,4.38,33.1,35.5,13,90.6
Darron Lee,QB,1-Jun,205,4.68,4.69,34.6,37,15,90.6
Kent Masters,RB,10-May,174,4.88,4.36,35.5,38,17,90.6
Caleb Gabriel,RB,9-May,165,4.6,4.79,40.6,36,13,90.54
Tyler Lindsey,CB,8-May,163,4.5,4.19,30.4,32.5,8,90.54
Mayomi Olootu,CB,5-7.5,165,4.69,4.06,35.3,30,3,90.54
Chase Krivashei,WR,5-8.5,150,4.71,4.06,34.1,33,8,90.51
Anthony Veal,RB,8-May,174,4.51,4.32,33.6,31.5,6,90.51
KINGSTON FERNANDEZ,DE,3-Jun,227,4.98,4.72,30.1,42,23,90.45
Tim Miller,WR,6-.5,183,4.85,4.38,38,35,12,90.45
name,pos,height,weight,forty_yard,shuttle,vertical_jump,powerball,bench_press,sparq
Keyston Fuller,WR,11-May,174,4.56,4.34,38.8,28.5,1,90.42
Julian Franklin,RB,10-May,179,4.55,4.37,35.8,31,5,90.36
Derrell Scott,RB,5-10.5,172,4.6,4.4,34.3,35,12,90.36
Kel Parham,CB,11-May,181,4.59,4.27,33.3,32,7,90.33
Kel Parham,CB,5-9.5,179,4.6,4.31,31.9,34.5,11,90.3
Dominic Pfister,WR,9-May,187,4.79,4.49,35.8,37,15,90.3
Kyle Buss,CB,5-9.5,170,4.76,4.15,30.3,36.5,14,90.27
Will Likely,CB,7-May,172,4.59,4.5,36.1,35,12,90.24
"Lee Ward, Iii",WR,5-11.5,185,4.72,4.32,35.1,33.5,9,90.24
Denzel Hill,WR,2-Jun,176,4.64,4.44,35.3,35,12,90.21
Matthew Santer,S,Jun-00,174,4.64,4.19,31,34,10,90.21
Bryan Bell,CB,9-May,161,4.64,4.41,36.9,35,12,90.15
Devin Roberts,WR,1-Jun,183,4.8,4.36,33.3,37.5,16,90.15
Zack Woodard,RB,8-May,203,4.83,4.34,34.2,35,12,90.15
Augustus Edwards,RB,1-Jun,220,4.58,4.52,31.6,33,8,90.12
Mark Russell,RB,7-May,152,4.66,4.18,35.1,33,8,90.12
Avante Yarber,RB,6-May,168,4.7,4.25,39.3,30,3,90.03
Wade Forde,DE,3-Jun,203,5.17,4.19,35.8,35,12,90
Matt Breida,RB,10-May,163,4.68,4.29,35.3,34.5,11,89.97
Deon Drake Jr.,LB,11-May,205,4.83,4.67,29.1,43,25,89.97
Zachary Clay,RB,3-Jun,183,4.76,4.4,30.8,39.5,19,89.94
Mardre London,RB,6-.5,194,4.81,4.34,33.4,36,13,89.94
Simeon Thomas,S,3-Jun,172,4.67,4.25,36.5,31,5,89.91
Jaquan Ransome,RB,11-May,181,4.64,4.33,32.3,35,12,89.88
Johan Williams,LB,1-Jun,214,4.88,4.46,31.3,38.5,18,89.88
Holland Fisher,S,6-1.5,187,4.72,4.41,34,36,13,89.85
Austin Golson,OL,6-5.5,284,5.16,4.69,23.9,46.5,31,89.85
Jatory Sparks Brown,RB,5-11.5,196,4.66,4.29,30.8,34,10,89.85
Elijah Staley,QB,6-Jun,207,4.89,4.53,34.2,38,17,89.82
Ethan Brown,WR,4-Jun,225,5.1,4.5,28.2,42,23,89.79
Derek Deiter,RB,5-9.5,201,5.03,4.22,31.1,38,17,89.79
Jarren Johnson,WR,10-May,192,4.67,4.4,35,33,8,89.79
Tre Jackson,LB,8-May,216,4.86,4.39,30.3,37.5,16,89.76
Justin Barlow,DE,2-Jun,238,5.32,4.76,32.6,44,27,89.73
Bobby Hartzog,WR,10-May,172,4.65,4.31,32.6,35.5,13,89.7
Corey Holmes,WR,1-Jun,172,4.56,4.56,39,32,7,89.7
Tim Quickel,LB,Jun-00,187,4.81,4.38,33.7,37,15,89.7
Brooks Stroud,QB,5-11.5,181,4.84,4.38,32.1,39.5,19,89.7
Tyberius Cravens,TE,6-1.5,212,5.02,4.24,33.3,35,12,89.67
Colbey Nixon,LB,1-Jun,220,4.75,4.34,28.4,36,13,89.67
Devin E. Ross,WR,9-May,168,4.67,4.25,33.7,34,10,89.67
Kamran Sawyer,WR,1-Jun,198,4.73,4.47,29.3,39.5,19,89.67
Tim Quickel,LB,6-.5,183,4.64,4.32,33.6,33,8,89.64
Kylen Towner,CB,5-6.5,168,4.57,4.38,35.3,33,8,89.64
Trevor Cotter,LB,10-May,192,4.76,4.1,31.3,32,7,89.61
Bryce Love,RB,9-May,168,4.66,4.32,36.3,33,8,89.61
Asunji Maddox Jr.,S,11-May,176,4.63,4.12,30.4,32,7,89.61
Jeffrey Wellington,RB,11-May,187,4.79,4.24,29.9,37,15,89.61
Larry Cage,LB,2-Jun,190,4.69,4.34,32.3,35,12,89.55
Adrian Lugo,WR,Jun-00,185,4.7,4.25,31.1,35,12,89.55
name,pos,height,weight,forty_yard,shuttle,vertical_jump,powerball,bench_press,sparq
Shawn Facione,CB,11-May,192,4.76,4.5,33.8,37.5,16,89.52
Diquon Woodhouse,CB,5-9.5,183,4.78,4.21,32.4,35,12,89.52
Bryson Martinez,WR,Jun-00,185,4.87,4.2,33.7,35,12,89.49
Philip Wright,LB,1-Jun,229,4.9,4.46,31.2,37,15,89.49
Isaac Nurse,CB,9-May,174,4.77,4.35,36.2,35,12,89.46
Aaron Gordon,DE,Jun-00,245,4.8,4.58,27.2,39,18,89.43
Reeve Koehler,OL,6-3.5,322,5.56,4.82,25.2,40,20,89.43
Jamal Lucas,LB,11-May,205,4.77,4.41,32.6,36,13,89.43
Dylan Sindorf,RB,9-May,214,4.85,4.36,33.2,34.5,11,89.37
Berron Tyson,RB,8-May,163,4.63,4.4,37.3,33,8,89.34
Rashaad Goodwyn,WR,11-May,187,4.89,4.44,38.6,35,12,89.31
Jerlarius Watkins,U,11-May,187,4.74,4.53,33.6,38,17,89.31
Jaime Nixon Alark,WR,5-10.5,161,4.44,4.36,31.9,32,7,89.25
Dionte Pearson,LB,Jun-00,245,5.05,4.28,31,34,10,89.22
Kyle Harbour,WR,Jun-00,194,4.61,4.35,31.5,33.5,9,89.19
Dashawn Benton,S,5-11.5,170,4.93,4.18,31.4,38.5,18,89.16
Antonio Franklin,RB,8-May,154,4.58,4.2,35.4,31,5,89.13
Brandon Padgett,S,11-May,172,4.67,4.32,34.4,34,10,89.13
Devin Grimes,CB,8-May,159,4.58,4.44,35.6,35,12,89.1
"Alfonso Randolph, Jr.",RB,10-May,179,4.73,4.4,36.7,34,10,89.04
Tommy Wright,LB,5-10.5,183,4.66,4.1,33.3,29,2,89.04
Larry Cage,LB,6-2.5,187,4.65,4.41,32.8,35,12,88.98
Kade Clayton,WR,6-.5,174,4.78,4.25,33.8,35,12,88.98
Brion Ballard,LB,6-.5,229,5.14,4.22,29.4,37,15,88.92
Anthony Caiazzo,RB,6-May,161,4.8,4.22,33,37,15,88.92
Justin Causa,RB,11-May,179,4.79,4.19,33.3,34,10,88.92
Clint Koons,LB,Jun-00,196,4.9,4.09,34,31,5,88.92
Devin Stevenson,CB,9-May,179,4.61,4.36,34.4,32.5,8,88.92
Mathias Tuitele Iafeta,LB,10-May,260,5.02,4.7,25.9,41,22,88.92
Aaron Williams,WR,6-.5,159,4.58,4.32,30.9,36.5,14,88.92
Je Vontey Smith,WR,1-Jun,183,4.69,4.22,31.9,33,8,88.89
Sharif Custis,TE,3-Jun,196,4.63,4.5,25.7,40,20,88.86
Andrew Moore,RB,5-10.5,214,4.87,4.67,32.2,40,20,88.83
Jakkar Bishop,CB,10-May,163,4.76,4.36,39.7,32.5,8,88.8
Shannon Smith,WR,6-1.5,196,4.75,4.44,36.3,33,8,88.8
Brandon Davenport,LB,1-Jun,205,4.82,4.5,33.9,36.5,14,88.77
Collis Walker,DE,6-1.5,201,4.83,4.34,29.6,38,17,88.77
Jt Ventura,RB,Jun-00,183,4.73,4.23,31.1,35,12,88.74
Jacob Alsadek,OL,7-Jun,342,5.74,5.12,22.4,41,22,88.68
Patrick Reed,WR,5-9.5,183,4.69,4.37,33.6,34.5,11,88.68
Dominic Moyer,LB,10-May,194,4.83,4.38,28.6,40,20,88.65
Isaac Tanner,LB,Jun-00,201,4.87,4.25,33,34,10,88.62
Ramon Frazier,LB,Jun-00,227,4.82,4.59,32.1,37,15,88.59
Keeon Johnson,WR,3-Jun,194,4.73,4.56,34.4,36.5,14,88.59
Teo Redding,WR,Jun-00,150,4.65,4.28,36.6,33,8,88.59
Derrick Stom,OL,1-Jun,276,5.41,4.41,25.6,40,20,88.59
Malik Jenkins,LB,1-Jun,203,4.8,4.41,33,36,13,88.56
Scott Pagano,DL,3-Jun,280,5.31,4.61,24.2,44.5,28,88.5
Kyle Shortridge,DL,2-Jun,273,5.22,4.75,32.2,36.5,14,88.5
Michael Franks,S,10-May,170,4.63,4.41,36.3,33,8,88.47
name,pos,height,weight,forty_yard,shuttle,vertical_jump,powerball,bench_press,sparq
William Fuller,WR,1-Jun,152,4.53,4.26,33.9,32,7,88.47
Harrison Domingue,S,Jun-00,196,4.62,4.4,30.7,34.5,11,88.44
Hunter Lafflin,LB,3-Jun,205,4.98,4.47,31.2,40,20,88.38
Trevan Smith,CB,5-6.5,172,4.7,4.3,34.3,34,10,88.38
David Akintonde,CB,7-May,159,4.71,4.6,39.6,36.5,14,88.35
Connor O'malley,S,Jun-00,181,4.85,4.06,30.6,34,10,88.35
Grant Haley,CB,5-8.5,172,4.57,4.22,31.5,32,7,88.29
Trevon Johnson,LB,11-May,198,4.89,4.22,32.9,34,10,88.29
Octayvius Miles,WR,5-8.5,161,4.72,4.26,34.4,35,12,88.29
Payton Minnich,TE,2-Jun,231,5.06,4.46,28.7,40,20,88.29
Stephen Bridges,RB,6-May,150,4.75,4.09,38,30,3,88.26
John Franklin,QB,6-.5,168,4.56,4.37,34.8,32,7,88.26
Darius Paul,RB,10-May,168,4.6,4.29,33.2,33,8,88.26
Alex Garcia,RB,5-8.5,185,4.84,4.25,33.3,35,12,88.23
Official Coffy,LB,Jun-00,185,4.72,4.56,33.3,38,17,88.2
Kyrin Priester,WR,1-Jun,181,4.55,4.44,32.3,34,10,88.2
Travion Boykins,RB,3-May,159,4.61,4.13,31.7,32,7,88.14
Jordan Hoiem,LB,4-Jun,207,4.88,4.35,27.6,39.5,19,88.11
Shane Ward,RB,8-May,168,4.72,4.1,33.8,31,5,88.11
Calvin Moore,QB,11-May,176,4.61,4.47,36,33,8,88.08
Dominique Brown,CB,11-May,183,4.72,4.37,37.2,31.5,6,88.05
Cody Ennis,QB,4-Jun,240,5.16,4.66,29.2,41,22,88.05
Lane Meyer,QB,2-Jun,181,4.78,4.32,33.2,36,13,88.05
Rajon Wright,WR,10-May,163,4.76,4.38,37.3,35,12,88.05
Jeff Anderson Jr,RB,11-May,220,4.96,4.63,31.8,40,20,88.02
Keven Bernard,LB,5-9.5,190,4.75,4.53,35.6,36,13,88.02
Kale Harper,RB,10-May,161,4.8,3.97,31.3,32,7,88.02
Trenton Shuler,RB,10-May,183,4.9,4.34,30.9,39.5,19,88.02
Willie Smith,WR,11-May,170,4.78,4.31,34.2,36,13,88.02
Kennedy Emesibe,DE,6-2.5,236,4.97,4.76,35.5,36,13,87.96
Justin Martin,CB,5-May,137,4.51,4.21,32.2,33,8,87.96
Christopher Blair,S,11-May,192,4.89,4.59,35.4,39,18,87.93
Nick Boyd,DL,2-Jun,209,4.97,4.38,30.3,39,18,87.93
Corey Manges,WR,5-Jun,201,4.88,4.12,30.1,33.5,9,87.93
Ryan Bennett,LB,1-Jun,201,4.71,4.24,32.3,31,5,87.9
Cameron Burrows,CB,5-11.5,203,4.57,4.52,31.2,34,10,87.9
Kendell Beckwith,DE,6-2.5,225,4.83,4.44,31.7,35,12,87.87
Zack Mehan,RB,11-May,176,4.7,4.25,34.8,31.5,6,87.84
Jonathan Bade,DE,5-Jun,216,5.17,4.52,29.3,43,25,87.81
Jeremy Kerr,TE,5-Jun,236,5.24,4.19,26.4,38.5,18,87.81
Paul Sneed,RB,5-10.5,176,4.76,4.35,34.7,35,12,87.81
Shaquill Griffin,CB,Jun-00,183,4.7,4.69,34.4,38.5,18,87.78
Devin Washington,DL,6-2.5,216,4.87,4.35,32.2,34.5,11,87.78
Marcellus Edwards,TE,1-Jun,216,5.03,4.77,30.9,43,25,87.75
Jojo Kemp,RB,11-May,185,4.67,4.37,34.8,32,7,87.75
Drew Wilson,LB,3-Jun,212,5,4.28,27.9,39,18,87.75
Xavier Kynard,WR,5-11.5,194,5.02,4.28,33.6,36.5,14,87.72
Damien Boone,CB,1-Jun,185,4.75,4.47,35.9,35,12,87.69
Jt Ibe,S,11-May,168,4.82,4.19,39.3,30,3,87.69
Darrius Lopez,RB,9-May,216,4.91,4.32,33.2,33.5,9,87.66
name,pos,height,weight,forty_yard,shuttle,vertical_jump,powerball,bench_press,sparq
Quincy Mauger,S,Jun-00,198,4.8,4.41,35.9,33,8,87.66
Jalen Barnes,CB,5-11.5,181,4.77,4.34,31.6,37,15,87.63
Nenwon Gbilia,CB,11-May,172,4.89,4.47,37.1,37.5,16,87.63
Styrone Hairston,CB,9-May,159,4.57,4.25,34.6,31,5,87.6
Devon Allen,S,1-Jun,203,4.79,4.38,27.6,39,18,87.57
Jalen Amis,WR,5-10.5,174,4.71,4.2,30.3,35,12,87.57
Esaias Chapman,RB,5-8.5,179,4.88,4.22,30.7,37.5,16,87.57
Patrick Hernandez,CB,10-May,190,4.73,4.21,32.8,31.5,6,87.54
Turner Woolley,LB,6-.5,220,5.08,4.36,30.6,38,17,87.54
Allen Lazard,WR,6-4.5,190,4.88,4.33,36.2,33.5,9,87.51
Eddie Burgos,CB,11-May,179,4.56,4.34,32.9,31.5,6,87.48
Taurean Ferguson,WR,9-May,174,4.6,4.16,30.9,31,5,87.45
Natrell Jamerson,WR,11-May,170,4.59,4.29,30.4,34.5,11,87.45
Miquan Johnson,S,5-8.5,194,4.74,4.33,31.7,34.5,11,87.45
Christopher Thompson,CB,8-May,181,4.81,4.46,36.3,36,13,87.45
Earl Chism,DE,1-Jun,227,4.96,4.73,36.6,35,12,87.42
Stephen Huff,DE,Jun-00,223,5.05,4.52,35.8,35.5,13,87.42
Jamaal Darden,RB,10-May,183,4.87,4.5,40.7,33,8,87.39
Ebenezer Ogundeko,DE,6-2.5,227,5.04,4.69,28.5,42,23,87.39
Jordan Hoiem,LB,6-4.5,207,4.84,4.34,27.8,38,17,87.36
Skylar Piepho,WR,2-Jun,174,4.79,4.3,30.1,38,17,87.36
Dequan Thomspon,RB,9-May,163,4.75,4.27,36.2,33,8,87.36
Rob Taylor,RB,9-May,157,4.61,4.15,30.5,33,8,87.33
Jerry Braden Jr.,LB,Jun-00,196,4.97,4.3,32.2,37,15,87.3
Aaron Burkett Jr.,CB,1-Jun,163,4.81,4.28,35.6,35,12,87.3
Jaylen Johnson,S,6-.5,192,4.79,4.22,30.3,35,12,87.27
Marquel Mc Nac,RB,5-6.5,170,4.68,4.35,34.9,33.5,9,87.27
Jacob Nichols,RB,5-11.5,176,4.67,4.23,32,32.5,8,87.27
Joe Barrett,LB,6-.5,209,4.88,4.41,29.9,38,17,87.24
Antonio Leachman,DE,1-Jun,240,5.13,4.41,27.9,39.5,19,87.15
Darius Allensworth,CB,5-10.5,174,4.82,4.39,36.6,35,12,87.12
Marco Delvecchio,S,11-May,179,4.81,4.16,32.2,33.5,9,87.06
Fifunmi Familusi,CB,Jun-00,179,4.87,4.23,35.6,33,8,87.03
Jason Nix,DE,2-Jun,225,4.7,4.61,33.4,33,8,87.03
Albert Daggs,RB,9-May,179,4.9,4.09,31.6,34,10,87
Devon Jones Stewart,LB,6-2.5,181,4.66,4.41,33.6,34,10,87
Ivan Jones,QB,Jun-00,187,4.71,4.3,30.4,35,12,86.97
Joshua Okonye,S,5-11.5,183,4.72,4.25,31.8,33.5,9,86.97
Samuel Stewart Ii,RB,8-May,174,4.66,4.47,32.8,36.5,14,86.97
Zoshua Heilig,WR,6-.5,183,4.8,4.32,36.3,32.5,8,86.94
Taylor Kimball,TE,5-Jun,198,4.81,4.34,30.9,36,13,86.94
Taylor Kimball,TE,5-Jun,198,4.81,4.34,30.9,36,13,86.94
Tommy Davis,WR,10-May,190,4.77,4.56,36.8,35,12,86.91
Osiris Smith,RB,6-May,172,4.82,4.2,32.8,35,12,86.91
Wayne Thomas,WR,Jun-00,174,4.56,4.28,33.7,30,3,86.91
Ryan Ammerman,WR,6-1.5,201,4.94,4.41,29.4,40,20,86.88
Lance Austin,CB,9-May,174,4.83,4.12,33.6,32,7,86.88
Rohan Hylton,LB,5-10.5,209,4.81,4.28,31.1,33,8,86.88
Eric Sadler,DE,1-Jun,225,5.07,4.37,29.7,38,17,86.88
Justin Bridges Thompson,LB,6-1.5,194,4.88,4.43,36.8,34,10,86.85
name,pos,height,weight,forty_yard,shuttle,vertical_jump,powerball,bench_press,sparq
Luke Holt,LB,5-11.5,198,5.16,4.09,33.7,33,8,86.85
Travis Baldwin,RB,10-May,179,4.74,4.33,32.8,35,12,86.82
Jeff Harris,RB,5-7.5,183,4.7,4.5,32.3,37,15,86.79
Dorian Hendrix,LB,5-11.5,218,4.66,4.41,28.4,34,10,86.79
Dalton Baker,WR,10-May,170,4.71,4.34,35.1,33.5,9,86.73
Hakim Gray,DE,3-Jun,236,4.94,4.34,30.4,34,10,86.7
Devonte' Dillion,RB,5-7.5,176,4.79,4.25,29.6,37,15,86.67
John Kim,CB,10-May,165,4.5,4.28,28.8,33,8,86.67
JAKE HUNT,RB,9-May,192,5.03,4.3,34.6,36,13,86.64
Mar Quell Nelson,WR,5-6.5,150,4.63,4.32,31.5,36.5,14,86.64
Adam Geiger,RB,11-May,192,4.58,4.42,30.2,34,10,86.61
Mark Dodson,RB,10-May,183,4.7,4.29,29.4,36,13,86.58
Elijah Qualls,DL,6-.5,282,5.39,4.81,25.8,41.5,23,86.58
Marques John,DE,1-Jun,234,4.91,4.75,31.3,39,18,86.55
Lorenzo Reeves,RB,11-May,203,4.76,4.41,32.8,34,10,86.55
Kevin Goic,WR,11-May,165,4.7,4.12,29.6,33.5,9,86.49
Devin Price,S,5-11.5,179,4.87,4.09,36.8,29,2,86.49
Julian Gonzalez,CB,9-May,181,4.74,4.21,29.6,35,12,86.46
Tony Fields,S,10-May,187,4.83,4.41,34.2,36,13,86.43
Cameron Green,CB,6-May,154,4.66,4.59,36.7,37,15,86.43
Sidney Nsoedo,CB,5-9.5,163,4.62,4.21,30.9,33,8,86.43
Patrick Perry,QB,5-10.5,165,4.76,4.31,30.2,38,17,86.43
Alex Schwab,CB,1-Jun,196,4.76,4.32,31,34.5,11,86.43
Brad Novak,QB,10-May,172,4.64,4.28,31.3,33.5,9,86.4
Jacob Wood,TE,3-Jun,203,4.89,4.32,31.9,35.5,13,86.4
Tyler Grover,WR,10-May,170,4.74,4.36,33.2,36,13,86.37
Todd Macon,RB,9-May,196,4.78,4.41,26,40,20,86.37
Grayson Berryhill,RB,5-10.5,209,4.87,4.29,29.9,35.5,13,86.34
Brady Moore,TE,6-Jun,212,4.86,4.5,32.6,36.5,14,86.34
Ramal Iverson,S,11-May,161,4.68,4.28,36.9,31,5,86.31
Seth Myers,WR,3-Jun,205,4.87,4.41,30.3,37.5,16,86.28
James Avila Ellington,RB,10-May,183,4.92,4.2,28.8,38,17,86.25
D'andre Guilford,DB,11-May,187,4.79,4.38,32.4,36,13,86.25
Scott Mc Cormick,WR,11-May,170,4.75,4.35,32,37,15,86.25
Jachin Watkins,RB,6-.5,218,4.96,4.18,30.5,32.5,8,86.25
Winston Chastang,DE,4-Jun,227,4.77,4.34,27.1,35,12,86.22
Chris Love,RB,5-10.5,168,4.7,4.26,33.6,33,8,86.22
Jack Tocho,CB,Jun-00,183,4.63,4.47,34.9,32.5,8,86.22
Austin Golson,OL,6-5.5,278,5.4,4.61,24.6,41,22,86.19
Chikwe Obasih,DL,6-2.5,231,4.97,4.56,26.1,40.5,21,86.19
Jon Marc Anderson,WR,10-May,161,4.43,4.44,31.3,32,7,86.16
Mark Chapman,QB,11-May,165,4.64,4.24,31.6,33,8,86.16
Lane Holmes,WR,6-1.5,170,4.76,4.27,31.6,36,13,86.16
Ricardo Molina,RB,11-May,179,4.68,4.28,31.9,33,8,86.16
Austin Mullins,CB,11-May,185,4.84,4.33,31.2,37,15,86.13
Devlin Boland,CB,5-9.5,172,4.85,4.64,36.2,39.5,19,86.1
